regiao,estado,data,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados
Norte,RO,19/03/2020,0,0,0,0
Norte,RO,20/03/2020,1,1,0,0
Norte,RO,21/03/2020,0,1,0,0
Norte,RO,22/03/2020,2,3,0,0
Norte,RO,23/03/2020,0,3,0,0
Norte,RO,24/03/2020,0,3,0,0
Norte,RO,25/03/2020,2,5,0,0
Norte,RO,26/03/2020,0,5,0,0
Norte,RO,27/03/2020,1,6,0,0
Norte,RO,28/03/2020,0,6,0,0
Norte,RO,29/03/2020,0,6,0,0
Norte,RO,30/03/2020,0,6,0,0
Norte,RO,31/03/2020,2,8,1,1
Norte,RO,01/04/2020,1,9,0,1
Norte,RO,02/04/2020,1,10,0,1
Norte,RO,03/04/2020,0,10,0,1
Norte,RO,04/04/2020,1,11,0,1
Norte,RO,05/04/2020,1,12,0,1
Norte,AC,30/01/2020,0,0,0,0
Norte,AC,31/01/2020,0,0,0,0
Norte,AC,01/02/2020,0,0,0,0
Norte,AC,02/02/2020,0,0,0,0
Norte,AC,03/02/2020,0,0,0,0
Norte,AC,04/02/2020,0,0,0,0
Norte,AC,05/02/2020,0,0,0,0
Norte,AC,06/02/2020,0,0,0,0
Norte,AC,07/02/2020,0,0,0,0
Norte,AC,08/02/2020,0,0,0,0
Norte,AC,09/02/2020,0,0,0,0
Norte,AC,10/02/2020,0,0,0,0
Norte,AC,11/02/2020,0,0,0,0
Norte,AC,12/02/2020,0,0,0,0
Norte,AC,13/02/2020,0,0,0,0
Norte,AC,14/02/2020,0,0,0,0
Norte,AC,15/02/2020,0,0,0,0
Norte,AC,16/02/2020,0,0,0,0
Norte,AC,17/02/2020,0,0,0,0
Norte,AC,18/02/2020,0,0,0,0
Norte,AC,19/02/2020,0,0,0,0
Norte,AC,20/02/2020,0,0,0,0
Norte,AC,21/02/2020,0,0,0,0
Norte,AC,22/02/2020,0,0,0,0
Norte,AC,23/02/2020,0,0,0,0
Norte,AC,24/02/2020,0,0,0,0
Norte,AC,25/02/2020,0,0,0,0
Norte,AC,26/02/2020,0,0,0,0
Norte,AC,27/02/2020,0,0,0,0
Norte,AC,28/02/2020,0,0,0,0
Norte,AC,29/02/2020,0,0,0,0
Norte,AC,01/03/2020,0,0,0,0
Norte,AC,02/03/2020,0,0,0,0
Norte,AC,03/03/2020,0,0,0,0
Norte,AC,04/03/2020,0,0,0,0
Norte,AC,05/03/2020,0,0,0,0
Norte,AC,06/03/2020,0,0,0,0
Norte,AC,07/03/2020,0,0,0,0
Norte,AC,08/03/2020,0,0,0,0
Norte,AC,09/03/2020,0,0,0,0
Norte,AC,10/03/2020,0,0,0,0
Norte,AC,11/03/2020,0,0,0,0
Norte,AC,12/03/2020,0,0,0,0
Norte,AC,13/03/2020,0,0,0,0
Norte,AC,14/03/2020,0,0,0,0
Norte,AC,15/03/2020,0,0,0,0
Norte,AC,16/03/2020,0,0,0,0
Norte,AC,17/03/2020,0,0,0,0
Norte,AC,18/03/2020,0,0,0,0
Norte,AC,19/03/2020,3,3,0,0
Norte,AC,20/03/2020,4,7,0,0
Norte,AC,21/03/2020,2,9,0,0
Norte,AC,22/03/2020,2,11,0,0
Norte,AC,23/03/2020,0,11,0,0
Norte,AC,24/03/2020,6,17,0,0
Norte,AC,25/03/2020,6,23,0,0
Norte,AC,26/03/2020,1,24,0,0
Norte,AC,27/03/2020,1,25,0,0
Norte,AC,28/03/2020,0,25,0,0
Norte,AC,29/03/2020,9,34,0,0
Norte,AC,30/03/2020,8,42,0,0
Norte,AC,31/03/2020,0,42,0,0
Norte,AC,01/04/2020,1,43,0,0
Norte,AC,02/04/2020,0,43,0,0
Norte,AC,03/04/2020,3,46,0,0
Norte,AC,04/04/2020,0,46,0,0
Norte,AC,05/04/2020,2,48,0,0
Norte,AM,30/01/2020,0,0,0,0
Norte,AM,31/01/2020,0,0,0,0
Norte,AM,01/02/2020,0,0,0,0
Norte,AM,02/02/2020,0,0,0,0
Norte,AM,03/02/2020,0,0,0,0
Norte,AM,04/02/2020,0,0,0,0
Norte,AM,05/02/2020,0,0,0,0
Norte,AM,06/02/2020,0,0,0,0
Norte,AM,07/02/2020,0,0,0,0
Norte,AM,08/02/2020,0,0,0,0
Norte,AM,09/02/2020,0,0,0,0
Norte,AM,10/02/2020,0,0,0,0
Norte,AM,11/02/2020,0,0,0,0
Norte,AM,12/02/2020,0,0,0,0
Norte,AM,13/02/2020,0,0,0,0
Norte,AM,14/02/2020,0,0,0,0
Norte,AM,15/02/2020,0,0,0,0
Norte,AM,16/02/2020,0,0,0,0
Norte,AM,17/02/2020,0,0,0,0
Norte,AM,18/02/2020,0,0,0,0
Norte,AM,19/02/2020,0,0,0,0
Norte,AM,20/02/2020,0,0,0,0
Norte,AM,21/02/2020,0,0,0,0
Norte,AM,22/02/2020,0,0,0,0
Norte,AM,23/02/2020,0,0,0,0
Norte,AM,24/02/2020,0,0,0,0
Norte,AM,25/02/2020,0,0,0,0
Norte,AM,26/02/2020,0,0,0,0
Norte,AM,27/02/2020,0,0,0,0
Norte,AM,28/02/2020,0,0,0,0
Norte,AM,29/02/2020,0,0,0,0
Norte,AM,01/03/2020,0,0,0,0
Norte,AM,02/03/2020,0,0,0,0
Norte,AM,03/03/2020,0,0,0,0
Norte,AM,04/03/2020,0,0,0,0
Norte,AM,05/03/2020,0,0,0,0
Norte,AM,06/03/2020,0,0,0,0
Norte,AM,07/03/2020,0,0,0,0
Norte,AM,08/03/2020,0,0,0,0
Norte,AM,09/03/2020,0,0,0,0
Norte,AM,10/03/2020,0,0,0,0
Norte,AM,11/03/2020,0,0,0,0
Norte,AM,12/03/2020,0,0,0,0
Norte,AM,13/03/2020,0,0,0,0
Norte,AM,14/03/2020,0,0,0,0
Norte,AM,15/03/2020,1,1,0,0
Norte,AM,16/03/2020,0,1,0,0
Norte,AM,17/03/2020,0,1,0,0
Norte,AM,18/03/2020,0,1,0,0
Norte,AM,19/03/2020,2,3,0,0
Norte,AM,20/03/2020,0,3,0,0
Norte,AM,21/03/2020,8,11,0,0
Norte,AM,22/03/2020,15,26,0,0
Norte,AM,23/03/2020,6,32,0,0
Norte,AM,24/03/2020,15,47,0,0
Norte,AM,25/03/2020,7,54,1,1
Norte,AM,26/03/2020,13,67,0,1
Norte,AM,27/03/2020,14,81,0,1
Norte,AM,28/03/2020,30,111,0,1
Norte,AM,29/03/2020,29,140,0,1
Norte,AM,30/03/2020,11,151,0,1
Norte,AM,31/03/2020,24,175,2,3
Norte,AM,01/04/2020,25,200,0,3
Norte,AM,02/04/2020,29,229,0,3
Norte,AM,03/04/2020,31,260,4,7
Norte,AM,04/04/2020,51,311,5,12
Norte,AM,05/04/2020,106,417,2,14
Norte,RR,30/01/2020,0,0,0,0
Norte,RR,31/01/2020,0,0,0,0
Norte,RR,01/02/2020,0,0,0,0
Norte,RR,02/02/2020,0,0,0,0
Norte,RR,03/02/2020,0,0,0,0
Norte,RR,04/02/2020,0,0,0,0
Norte,RR,05/02/2020,0,0,0,0
Norte,RR,06/02/2020,0,0,0,0
Norte,RR,07/02/2020,0,0,0,0
Norte,RR,08/02/2020,0,0,0,0
Norte,RR,09/02/2020,0,0,0,0
Norte,RR,10/02/2020,0,0,0,0
Norte,RR,11/02/2020,0,0,0,0
Norte,RR,12/02/2020,0,0,0,0
Norte,RR,13/02/2020,0,0,0,0
Norte,RR,14/02/2020,0,0,0,0
Norte,RR,15/02/2020,0,0,0,0
Norte,RR,16/02/2020,0,0,0,0
Norte,RR,17/02/2020,0,0,0,0
Norte,RR,18/02/2020,0,0,0,0
Norte,RR,19/02/2020,0,0,0,0
Norte,RR,20/02/2020,0,0,0,0
Norte,RR,21/02/2020,0,0,0,0
Norte,RR,22/02/2020,0,0,0,0
Norte,RR,23/02/2020,0,0,0,0
Norte,RR,24/02/2020,0,0,0,0
Norte,RR,25/02/2020,0,0,0,0
Norte,RR,26/02/2020,0,0,0,0
Norte,RR,27/02/2020,0,0,0,0
Norte,RR,28/02/2020,0,0,0,0
Norte,RR,29/02/2020,0,0,0,0
Norte,RR,01/03/2020,0,0,0,0
Norte,RR,02/03/2020,0,0,0,0
Norte,RR,03/03/2020,0,0,0,0
Norte,RR,04/03/2020,0,0,0,0
Norte,RR,05/03/2020,0,0,0,0
Norte,RR,06/03/2020,0,0,0,0
Norte,RR,07/03/2020,0,0,0,0
Norte,RR,08/03/2020,0,0,0,0
Norte,RR,09/03/2020,0,0,0,0
Norte,RR,10/03/2020,0,0,0,0
Norte,RR,11/03/2020,0,0,0,0
Norte,RR,12/03/2020,0,0,0,0
Norte,RR,13/03/2020,0,0,0,0
Norte,RR,14/03/2020,0,0,0,0
Norte,RR,15/03/2020,0,0,0,0
Norte,RR,16/03/2020,0,0,0,0
Norte,RR,17/03/2020,0,0,0,0
Norte,RR,18/03/2020,0,0,0,0
Norte,RR,19/03/2020,0,0,0,0
Norte,RR,20/03/2020,0,0,0,0
Norte,RR,21/03/2020,0,0,0,0
Norte,RR,22/03/2020,2,2,0,0
Norte,RR,23/03/2020,0,2,0,0
Norte,RR,24/03/2020,0,2,0,0
Norte,RR,25/03/2020,6,8,0,0
Norte,RR,26/03/2020,0,8,0,0
Norte,RR,27/03/2020,2,10,0,0
Norte,RR,28/03/2020,2,12,0,0
Norte,RR,29/03/2020,4,16,0,0
Norte,RR,30/03/2020,0,16,0,0
Norte,RR,31/03/2020,0,16,0,0
Norte,RR,01/04/2020,6,22,0,0
Norte,RR,02/04/2020,4,26,0,0
Norte,RR,03/04/2020,4,30,0,0
Norte,RR,04/04/2020,7,37,1,1
Norte,RR,05/04/2020,5,42,0,1
Norte,PA,30/01/2020,0,0,0,0
Norte,PA,31/01/2020,0,0,0,0
Norte,PA,01/02/2020,0,0,0,0
Norte,PA,02/02/2020,0,0,0,0
Norte,PA,03/02/2020,0,0,0,0
Norte,PA,04/02/2020,0,0,0,0
Norte,PA,05/02/2020,0,0,0,0
Norte,PA,06/02/2020,0,0,0,0
Norte,PA,07/02/2020,0,0,0,0
Norte,PA,08/02/2020,0,0,0,0
Norte,PA,09/02/2020,0,0,0,0
Norte,PA,10/02/2020,0,0,0,0
Norte,PA,11/02/2020,0,0,0,0
Norte,PA,12/02/2020,0,0,0,0
Norte,PA,13/02/2020,0,0,0,0
Norte,PA,14/02/2020,0,0,0,0
Norte,PA,15/02/2020,0,0,0,0
Norte,PA,16/02/2020,0,0,0,0
Norte,PA,17/02/2020,0,0,0,0
Norte,PA,18/02/2020,0,0,0,0
Norte,PA,19/02/2020,0,0,0,0
Norte,PA,20/02/2020,0,0,0,0
Norte,PA,21/02/2020,0,0,0,0
Norte,PA,22/02/2020,0,0,0,0
Norte,PA,23/02/2020,0,0,0,0
Norte,PA,24/02/2020,0,0,0,0
Norte,PA,25/02/2020,0,0,0,0
Norte,PA,26/02/2020,0,0,0,0
Norte,PA,27/02/2020,0,0,0,0
Norte,PA,28/02/2020,0,0,0,0
Norte,PA,29/02/2020,0,0,0,0
Norte,PA,01/03/2020,0,0,0,0
Norte,PA,02/03/2020,0,0,0,0
Norte,PA,03/03/2020,0,0,0,0
Norte,PA,04/03/2020,0,0,0,0
Norte,PA,05/03/2020,0,0,0,0
Norte,PA,06/03/2020,0,0,0,0
Norte,PA,07/03/2020,0,0,0,0
Norte,PA,08/03/2020,0,0,0,0
Norte,PA,09/03/2020,0,0,0,0
Norte,PA,10/03/2020,0,0,0,0
Norte,PA,11/03/2020,0,0,0,0
Norte,PA,12/03/2020,0,0,0,0
Norte,PA,13/03/2020,0,0,0,0
Norte,PA,14/03/2020,0,0,0,0
Norte,PA,15/03/2020,0,0,0,0
Norte,PA,16/03/2020,0,0,0,0
Norte,PA,17/03/2020,0,0,0,0
Norte,PA,18/03/2020,0,0,0,0
Norte,PA,19/03/2020,1,1,0,0
Norte,PA,20/03/2020,1,2,0,0
Norte,PA,21/03/2020,0,2,0,0
Norte,PA,22/03/2020,2,4,0,0
Norte,PA,23/03/2020,1,5,0,0
Norte,PA,24/03/2020,0,5,0,0
Norte,PA,25/03/2020,2,7,0,0
Norte,PA,26/03/2020,6,13,0,0
Norte,PA,27/03/2020,0,13,0,0
Norte,PA,28/03/2020,4,17,0,0
Norte,PA,29/03/2020,1,18,0,0
Norte,PA,30/03/2020,3,21,0,0
Norte,PA,31/03/2020,11,32,0,0
Norte,PA,01/04/2020,8,40,1,1
Norte,PA,02/04/2020,6,46,0,1
Norte,PA,03/04/2020,4,50,0,1
Norte,PA,04/04/2020,30,80,0,1
Norte,PA,05/04/2020,6,86,0,1
Norte,AP,30/01/2020,0,0,0,0
Norte,AP,31/01/2020,0,0,0,0
Norte,AP,01/02/2020,0,0,0,0
Norte,AP,02/02/2020,0,0,0,0
Norte,AP,03/02/2020,0,0,0,0
Norte,AP,04/02/2020,0,0,0,0
Norte,AP,05/02/2020,0,0,0,0
Norte,AP,06/02/2020,0,0,0,0
Norte,AP,07/02/2020,0,0,0,0
Norte,AP,08/02/2020,0,0,0,0
Norte,AP,09/02/2020,0,0,0,0
Norte,AP,10/02/2020,0,0,0,0
Norte,AP,11/02/2020,0,0,0,0
Norte,AP,12/02/2020,0,0,0,0
Norte,AP,13/02/2020,0,0,0,0
Norte,AP,14/02/2020,0,0,0,0
Norte,AP,15/02/2020,0,0,0,0
Norte,AP,16/02/2020,0,0,0,0
Norte,AP,17/02/2020,0,0,0,0
Norte,AP,18/02/2020,0,0,0,0
Norte,AP,19/02/2020,0,0,0,0
Norte,AP,20/02/2020,0,0,0,0
Norte,AP,21/02/2020,0,0,0,0
Norte,AP,22/02/2020,0,0,0,0
Norte,AP,23/02/2020,0,0,0,0
Norte,AP,24/02/2020,0,0,0,0
Norte,AP,25/02/2020,0,0,0,0
Norte,AP,26/02/2020,0,0,0,0
Norte,AP,27/02/2020,0,0,0,0
Norte,AP,28/02/2020,0,0,0,0
Norte,AP,29/02/2020,0,0,0,0
Norte,AP,01/03/2020,0,0,0,0
Norte,AP,02/03/2020,0,0,0,0
Norte,AP,03/03/2020,0,0,0,0
Norte,AP,04/03/2020,0,0,0,0
Norte,AP,05/03/2020,0,0,0,0
Norte,AP,06/03/2020,0,0,0,0
Norte,AP,07/03/2020,0,0,0,0
Norte,AP,08/03/2020,0,0,0,0
Norte,AP,09/03/2020,0,0,0,0
Norte,AP,10/03/2020,0,0,0,0
Norte,AP,11/03/2020,0,0,0,0
Norte,AP,12/03/2020,0,0,0,0
Norte,AP,13/03/2020,0,0,0,0
Norte,AP,14/03/2020,0,0,0,0
Norte,AP,15/03/2020,0,0,0,0
Norte,AP,16/03/2020,0,0,0,0
Norte,AP,17/03/2020,0,0,0,0
Norte,AP,18/03/2020,0,0,0,0
Norte,AP,19/03/2020,0,0,0,0
Norte,AP,20/03/2020,1,1,0,0
Norte,AP,21/03/2020,0,1,0,0
Norte,AP,22/03/2020,0,1,0,0
Norte,AP,23/03/2020,0,1,0,0
Norte,AP,24/03/2020,0,1,0,0
Norte,AP,25/03/2020,0,1,0,0
Norte,AP,26/03/2020,1,2,0,0
Norte,AP,27/03/2020,0,2,0,0
Norte,AP,28/03/2020,2,4,0,0
Norte,AP,29/03/2020,0,4,0,0
Norte,AP,30/03/2020,4,8,0,0
Norte,AP,31/03/2020,2,10,0,0
Norte,AP,01/04/2020,1,11,0,0
Norte,AP,02/04/2020,0,11,0,0
Norte,AP,03/04/2020,8,19,0,0
Norte,AP,04/04/2020,9,28,1,1
Norte,AP,05/04/2020,1,29,1,2
Norte,TO,30/01/2020,0,0,0,0
Norte,TO,31/01/2020,0,0,0,0
Norte,TO,01/02/2020,0,0,0,0
Norte,TO,02/02/2020,0,0,0,0
Norte,TO,03/02/2020,0,0,0,0
Norte,TO,04/02/2020,0,0,0,0
Norte,TO,05/02/2020,0,0,0,0
Norte,TO,06/02/2020,0,0,0,0
Norte,TO,07/02/2020,0,0,0,0
Norte,TO,08/02/2020,0,0,0,0
Norte,TO,09/02/2020,0,0,0,0
Norte,TO,10/02/2020,0,0,0,0
Norte,TO,11/02/2020,0,0,0,0
Norte,TO,12/02/2020,0,0,0,0
Norte,TO,13/02/2020,0,0,0,0
Norte,TO,14/02/2020,0,0,0,0
Norte,TO,15/02/2020,0,0,0,0
Norte,TO,16/02/2020,0,0,0,0
Norte,TO,17/02/2020,0,0,0,0
Norte,TO,18/02/2020,0,0,0,0
Norte,TO,19/02/2020,0,0,0,0
Norte,TO,20/02/2020,0,0,0,0
Norte,TO,21/02/2020,0,0,0,0
Norte,TO,22/02/2020,0,0,0,0
Norte,TO,23/02/2020,0,0,0,0
Norte,TO,24/02/2020,0,0,0,0
Norte,TO,25/02/2020,0,0,0,0
Norte,TO,26/02/2020,0,0,0,0
Norte,TO,27/02/2020,0,0,0,0
Norte,TO,28/02/2020,0,0,0,0
Norte,TO,29/02/2020,0,0,0,0
Norte,TO,01/03/2020,0,0,0,0
Norte,TO,02/03/2020,0,0,0,0
Norte,TO,03/03/2020,0,0,0,0
Norte,TO,04/03/2020,0,0,0,0
Norte,TO,05/03/2020,0,0,0,0
Norte,TO,06/03/2020,0,0,0,0
Norte,TO,07/03/2020,0,0,0,0
Norte,TO,08/03/2020,0,0,0,0
Norte,TO,09/03/2020,0,0,0,0
Norte,TO,10/03/2020,0,0,0,0
Norte,TO,11/03/2020,0,0,0,0
Norte,TO,12/03/2020,0,0,0,0
Norte,TO,13/03/2020,0,0,0,0
Norte,TO,14/03/2020,0,0,0,0
Norte,TO,15/03/2020,0,0,0,0
Norte,TO,16/03/2020,0,0,0,0
Norte,TO,17/03/2020,0,0,0,0
Norte,TO,18/03/2020,0,0,0,0
Norte,TO,19/03/2020,1,1,0,0
Norte,TO,20/03/2020,0,1,0,0
Norte,TO,21/03/2020,1,2,0,0
Norte,TO,22/03/2020,0,2,0,0
Norte,TO,23/03/2020,3,5,0,0
Norte,TO,24/03/2020,2,7,0,0
Norte,TO,25/03/2020,0,7,0,0
Norte,TO,26/03/2020,0,7,0,0
Norte,TO,27/03/2020,1,8,0,0
Norte,TO,28/03/2020,1,9,0,0
Norte,TO,29/03/2020,0,9,0,0
Norte,TO,30/03/2020,1,10,0,0
Norte,TO,31/03/2020,1,11,0,0
Norte,TO,01/04/2020,1,12,0,0
Norte,TO,02/04/2020,0,12,0,0
Norte,TO,03/04/2020,0,12,0,0
Norte,TO,04/04/2020,2,14,0,0
Norte,TO,05/04/2020,3,17,0,0
Nordeste,MA,30/01/2020,0,0,0,0
Nordeste,MA,31/01/2020,0,0,0,0
Nordeste,MA,01/02/2020,0,0,0,0
Nordeste,MA,02/02/2020,0,0,0,0
Nordeste,MA,03/02/2020,0,0,0,0
Nordeste,MA,04/02/2020,0,0,0,0
Nordeste,MA,05/02/2020,0,0,0,0
Nordeste,MA,06/02/2020,0,0,0,0
Nordeste,MA,07/02/2020,0,0,0,0
Nordeste,MA,08/02/2020,0,0,0,0
Nordeste,MA,09/02/2020,0,0,0,0
Nordeste,MA,10/02/2020,0,0,0,0
Nordeste,MA,11/02/2020,0,0,0,0
Nordeste,MA,12/02/2020,0,0,0,0
Nordeste,MA,13/02/2020,0,0,0,0
Nordeste,MA,14/02/2020,0,0,0,0
Nordeste,MA,15/02/2020,0,0,0,0
Nordeste,MA,16/02/2020,0,0,0,0
Nordeste,MA,17/02/2020,0,0,0,0
Nordeste,MA,18/02/2020,0,0,0,0
Nordeste,MA,19/02/2020,0,0,0,0
Nordeste,MA,20/02/2020,0,0,0,0
Nordeste,MA,21/02/2020,0,0,0,0
Nordeste,MA,22/02/2020,0,0,0,0
Nordeste,MA,23/02/2020,0,0,0,0
Nordeste,MA,24/02/2020,0,0,0,0
Nordeste,MA,25/02/2020,0,0,0,0
Nordeste,MA,26/02/2020,0,0,0,0
Nordeste,MA,27/02/2020,0,0,0,0
Nordeste,MA,28/02/2020,0,0,0,0
Nordeste,MA,29/02/2020,0,0,0,0
Nordeste,MA,01/03/2020,0,0,0,0
Nordeste,MA,02/03/2020,0,0,0,0
Nordeste,MA,03/03/2020,0,0,0,0
Nordeste,MA,04/03/2020,0,0,0,0
Nordeste,MA,05/03/2020,0,0,0,0
Nordeste,MA,06/03/2020,0,0,0,0
Nordeste,MA,07/03/2020,0,0,0,0
Nordeste,MA,08/03/2020,0,0,0,0
Nordeste,MA,09/03/2020,0,0,0,0
Nordeste,MA,10/03/2020,0,0,0,0
Nordeste,MA,11/03/2020,0,0,0,0
Nordeste,MA,12/03/2020,0,0,0,0
Nordeste,MA,13/03/2020,0,0,0,0
Nordeste,MA,14/03/2020,0,0,0,0
Nordeste,MA,15/03/2020,0,0,0,0
Nordeste,MA,16/03/2020,0,0,0,0
Nordeste,MA,17/03/2020,0,0,0,0
Nordeste,MA,18/03/2020,0,0,0,0
Nordeste,MA,19/03/2020,0,0,0,0
Nordeste,MA,20/03/2020,0,0,0,0
Nordeste,MA,21/03/2020,1,1,0,0
Nordeste,MA,22/03/2020,1,2,0,0
Nordeste,MA,23/03/2020,0,2,0,0
Nordeste,MA,24/03/2020,6,8,0,0
Nordeste,MA,25/03/2020,0,8,0,0
Nordeste,MA,26/03/2020,2,10,0,0
Nordeste,MA,27/03/2020,3,13,0,0
Nordeste,MA,28/03/2020,1,14,0,0
Nordeste,MA,29/03/2020,2,16,0,0
Nordeste,MA,30/03/2020,7,23,1,1
Nordeste,MA,31/03/2020,8,31,0,1
Nordeste,MA,01/04/2020,21,52,0,1
Nordeste,MA,02/04/2020,19,71,0,1
Nordeste,MA,03/04/2020,10,81,0,1
Nordeste,MA,04/04/2020,7,88,0,1
Nordeste,MA,05/04/2020,8,96,1,2
Nordeste,PI,30/01/2020,0,0,0,0
Nordeste,PI,31/01/2020,0,0,0,0
Nordeste,PI,01/02/2020,0,0,0,0
Nordeste,PI,02/02/2020,0,0,0,0
Nordeste,PI,03/02/2020,0,0,0,0
Nordeste,PI,04/02/2020,0,0,0,0
Nordeste,PI,05/02/2020,0,0,0,0
Nordeste,PI,06/02/2020,0,0,0,0
Nordeste,PI,07/02/2020,0,0,0,0
Nordeste,PI,08/02/2020,0,0,0,0
Nordeste,PI,09/02/2020,0,0,0,0
Nordeste,PI,10/02/2020,0,0,0,0
Nordeste,PI,11/02/2020,0,0,0,0
Nordeste,PI,12/02/2020,0,0,0,0
Nordeste,PI,13/02/2020,0,0,0,0
Nordeste,PI,14/02/2020,0,0,0,0
Nordeste,PI,15/02/2020,0,0,0,0
Nordeste,PI,16/02/2020,0,0,0,0
Nordeste,PI,17/02/2020,0,0,0,0
Nordeste,PI,18/02/2020,0,0,0,0
Nordeste,PI,19/02/2020,0,0,0,0
Nordeste,PI,20/02/2020,0,0,0,0
Nordeste,PI,21/02/2020,0,0,0,0
Nordeste,PI,22/02/2020,0,0,0,0
Nordeste,PI,23/02/2020,0,0,0,0
Nordeste,PI,24/02/2020,0,0,0,0
Nordeste,PI,25/02/2020,0,0,0,0
Nordeste,PI,26/02/2020,0,0,0,0
Nordeste,PI,27/02/2020,0,0,0,0
Nordeste,PI,28/02/2020,0,0,0,0
Nordeste,PI,29/02/2020,0,0,0,0
Nordeste,PI,01/03/2020,0,0,0,0
Nordeste,PI,02/03/2020,0,0,0,0
Nordeste,PI,03/03/2020,0,0,0,0
Nordeste,PI,04/03/2020,0,0,0,0
Nordeste,PI,05/03/2020,0,0,0,0
Nordeste,PI,06/03/2020,0,0,0,0
Nordeste,PI,07/03/2020,0,0,0,0
Nordeste,PI,08/03/2020,0,0,0,0
Nordeste,PI,09/03/2020,0,0,0,0
Nordeste,PI,10/03/2020,0,0,0,0
Nordeste,PI,11/03/2020,0,0,0,0
Nordeste,PI,12/03/2020,0,0,0,0
Nordeste,PI,13/03/2020,0,0,0,0
Nordeste,PI,14/03/2020,0,0,0,0
Nordeste,PI,15/03/2020,0,0,0,0
Nordeste,PI,16/03/2020,0,0,0,0
Nordeste,PI,17/03/2020,0,0,0,0
Nordeste,PI,18/03/2020,0,0,0,0
Nordeste,PI,19/03/2020,0,0,0,0
Nordeste,PI,20/03/2020,3,3,0,0
Nordeste,PI,21/03/2020,1,4,0,0
Nordeste,PI,22/03/2020,0,4,0,0
Nordeste,PI,23/03/2020,2,6,0,0
Nordeste,PI,24/03/2020,0,6,0,0
Nordeste,PI,25/03/2020,2,8,0,0
Nordeste,PI,26/03/2020,1,9,0,0
Nordeste,PI,27/03/2020,0,9,0,0
Nordeste,PI,28/03/2020,2,11,1,1
Nordeste,PI,29/03/2020,3,14,0,1
Nordeste,PI,30/03/2020,2,16,2,3
Nordeste,PI,31/03/2020,2,18,1,4
Nordeste,PI,01/04/2020,0,18,0,4
Nordeste,PI,02/04/2020,1,19,0,4
Nordeste,PI,03/04/2020,2,21,0,4
Nordeste,PI,04/04/2020,1,22,0,4
Nordeste,PI,05/04/2020,1,23,0,4
Nordeste,CE,30/01/2020,0,0,0,0
Nordeste,CE,31/01/2020,0,0,0,0
Nordeste,CE,01/02/2020,0,0,0,0
Nordeste,CE,02/02/2020,0,0,0,0
Nordeste,CE,03/02/2020,0,0,0,0
Nordeste,CE,04/02/2020,0,0,0,0
Nordeste,CE,05/02/2020,0,0,0,0
Nordeste,CE,06/02/2020,0,0,0,0
Nordeste,CE,07/02/2020,0,0,0,0
Nordeste,CE,08/02/2020,0,0,0,0
Nordeste,CE,09/02/2020,0,0,0,0
Nordeste,CE,10/02/2020,0,0,0,0
Nordeste,CE,11/02/2020,0,0,0,0
Nordeste,CE,12/02/2020,0,0,0,0
Nordeste,CE,13/02/2020,0,0,0,0
Nordeste,CE,14/02/2020,0,0,0,0
